artist,track,album,album_name,album_type,album_date,album_tracks,album_pic,indexOf,genres,year,alphaname
Agitation Free,Nomads,River of Return,River of Return,Album,1999-04-16,"River of Return (08:23)/2, Pt. 2 (05:46)/Fame's Mood (04:11)/Susie Sells Seashells at the Seashore (10:01)/The Obscure Carousel (05:15)/Nomads (07:02)/Das kleine Uhrwerk (05:04)/177 Spectacular Sunrises (12:10)/Keep On - Bonustrack (03:59)/First Communication - Bonustrack (10:13)",https://i.scdn.co/image/ab67616d00001e0274e0f15cfc8a649a15b7bb19,136.0,Krautrock,1999,Agitation Free
Agitation Free,"Laila, Pt. 2",y,2Nd,Album,1974-02-04,"First Communication (08:10)/Dialogue & Random (01:51)/Laila, Pt. 1 (01:41)/Laila, Pt. 2 (06:46)/In the Silence of the Morning Sunrise (06:37)/A Quiet Walk (09:17)/Haunted Island (08:08)/Laila '74 (Live) - Bonustrack (07:41)",https://i.scdn.co/image/ab67616d00001e02009f66b3e9fa351b24f466f2,75.0,Krautrock,1974,Agitation Free
Allah-Las,Catamaran,Allah-Las,Allah-Las,Album,2012-10-28,Catamaran (03:32)/Don't You Forget It (03:04)/Busman's Holiday (03:27)/Sacred Sands (03:31)/No Voodoo (03:01)/Sandy (02:44)/Ela Navega (03:54)/Tell Me (What's on Your Mind) (03:31)/Catalina (03:43)/Vis-a-Vis (03:28)/Seven Point Five (02:47)/Long Journey (03:12),https://i.scdn.co/image/ab67616d00001e02db27283ab2ae5eddb265d9a7,0.0,Indie Surf/Neo-psychedelic/Noise Pop,2012,Allah-Las
Allah-Las,Don't You Forget It,Allah-Las,Allah-Las,Album,2012-10-28,Catamaran (03:32)/Don't You Forget It (03:04)/Busman's Holiday (03:27)/Sacred Sands (03:31)/No Voodoo (03:01)/Sandy (02:44)/Ela Navega (03:54)/Tell Me (What's on Your Mind) (03:31)/Catalina (03:43)/Vis-a-Vis (03:28)/Seven Point Five (02:47)/Long Journey (03:12),https://i.scdn.co/image/ab67616d00001e02db27283ab2ae5eddb265d9a7,18.0,Indie Surf/Neo-psychedelic/Noise Pop,2012,Allah-Las
Allah-Las,Busman's Holiday,Allah-Las,Allah-Las,Album,2012-10-28,Catamaran (03:32)/Don't You Forget It (03:04)/Busman's Holiday (03:27)/Sacred Sands (03:31)/No Voodoo (03:01)/Sandy (02:44)/Ela Navega (03:54)/Tell Me (What's on Your Mind) (03:31)/Catalina (03:43)/Vis-a-Vis (03:28)/Seven Point Five (02:47)/Long Journey (03:12),https://i.scdn.co/image/ab67616d00001e02db27283ab2ae5eddb265d9a7,46.0,Indie Surf/Neo-psychedelic/Noise Pop,2012,Allah-Las
Allah-Las,Sacred Sands,Allah-Las,Allah-Las,Album,2012-10-28,Catamaran (03:32)/Don't You Forget It (03:04)/Busman's Holiday (03:27)/Sacred Sands (03:31)/No Voodoo (03:01)/Sandy (02:44)/Ela Navega (03:54)/Tell Me (What's on Your Mind) (03:31)/Catalina (03:43)/Vis-a-Vis (03:28)/Seven Point Five (02:47)/Long Journey (03:12),https://i.scdn.co/image/ab67616d00001e02db27283ab2ae5eddb265d9a7,71.0,Indie Surf/Neo-psychedelic/Noise Pop,2012,Allah-Las
Allah-Las,No Voodoo,Allah-Las,Allah-Las,Album,2012-10-28,Catamaran (03:32)/Don't You Forget It (03:04)/Busman's Holiday (03:27)/Sacred Sands (03:31)/No Voodoo (03:01)/Sandy (02:44)/Ela Navega (03:54)/Tell Me (What's on Your Mind) (03:31)/Catalina (03:43)/Vis-a-Vis (03:28)/Seven Point Five (02:47)/Long Journey (03:12),https://i.scdn.co/image/ab67616d00001e02db27283ab2ae5eddb265d9a7,92.0,Indie Surf/Neo-psychedelic/Noise Pop,2012,Allah-Las
Allah-Las,Sandy,Allah-Las,Allah-Las,Album,2012-10-28,Catamaran (03:32)/Don't You Forget It (03:04)/Busman's Holiday (03:27)/Sacred Sands (03:31)/No Voodoo (03:01)/Sandy (02:44)/Ela Navega (03:54)/Tell Me (What's on Your Mind) (03:31)/Catalina (03:43)/Vis-a-Vis (03:28)/Seven Point Five (02:47)/Long Journey (03:12),https://i.scdn.co/image/ab67616d00001e02db27283ab2ae5eddb265d9a7,110.0,Indie Surf/Neo-psychedelic/Noise Pop,2012,Allah-Las
Allah-Las,Ela Navega,Allah-Las,Allah-Las,Album,2012-10-28,Catamaran (03:32)/Don't You Forget It (03:04)/Busman's Holiday (03:27)/Sacred Sands (03:31)/No Voodoo (03:01)/Sandy (02:44)/Ela Navega (03:54)/Tell Me (What's on Your Mind) (03:31)/Catalina (03:43)/Vis-a-Vis (03:28)/Seven Point Five (02:47)/Long Journey (03:12),https://i.scdn.co/image/ab67616d00001e02db27283ab2ae5eddb265d9a7,124.0,Indie Surf/Neo-psychedelic/Noise Pop,2012,Allah-Las
Allah-Las,Tell Me (What's on Your Mind),Allah-Las,Allah-Las,Album,2012-10-28,Catamaran (03:32)/Don't You Forget It (03:04)/Busman's Holiday (03:27)/Sacred Sands (03:31)/No Voodoo (03:01)/Sandy (02:44)/Ela Navega (03:54)/Tell Me (What's on Your Mind) (03:31)/Catalina (03:43)/Vis-a-Vis (03:28)/Seven Point Five (02:47)/Long Journey (03:12),https://i.scdn.co/image/ab67616d00001e02db27283ab2ae5eddb265d9a7,143.0,Indie Surf/Neo-psychedelic/Noise Pop,2012,Allah-Las
